Pathway_1,Pathway_2,Type_I CrossTalk score (obs),Type_II CrossTalk score (obs),Type_II CrossTalk (z-score),Type_II CrossTalk (p-value),Type_I CrossTalk size,Type_I CrossTalk points
Amyotrophic lateral sclerosis,Cellular senescence,0.166666666666667,1.08163265306122,-67.1751442127216,0,7,TP53;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;VDAC1
Amyotrophic lateral sclerosis,Chronic myeloid leukemia,0.05,1.5952380952381,-8.05877252209429,3.85321770294271e-16,2,BAX;TP53
Amyotrophic lateral sclerosis,Colorectal cancer,0.0975609756097561,1.37777777777778,-2.80922175538063,0.00248307131846545,4,BAX;TP53;BCL2;CASP3
Amyotrophic lateral sclerosis,Glioma,0.05,1.42857142857143,,,2,BAX;TP53
Amyotrophic lateral sclerosis,Glucagon signaling pathway,0.119047619047619,1.34782608695652,-4.30692312177261,8.27705558311148e-06,5,PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC
Amyotrophic lateral sclerosis,Hepatitis B,0.0869565217391304,1.38,NaN,NaN,4,BAX;TP53;BCL2;CASP3
Amyotrophic lateral sclerosis,Human cytomegalovirus infection,0.2,1.03703703703704,-6.61906265406996,1.80741814234651e-11,9,BAX;TP53;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;TRAF2;CASP3
Amyotrophic lateral sclerosis,Human immunodeficiency virus 1 infection,0.1875,1.10526315789474,-6.16193052176849,3.59316916265859e-10,9,BAX;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;TRAF2;BCL2;CASP3
Amyotrophic lateral sclerosis,Kaposi sarcoma-associated herpesvirus infection,0.27906976744186,0.836363636363636,-26.6620851023869,6.48107065163396e-157,12,BAX;TP53;GABARAPL2;GABARAPL1;GABARAP;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;TRAF2;CASP3
Amyotrophic lateral sclerosis,Lipid and atherosclerosis,0.217391304347826,1.05357142857143,-6.78172652503422,5.93740500394191e-12,10,BAX;TP53;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;TRAF2;BCL2;CASP3
Amyotrophic lateral sclerosis,Neurotrophin signaling pathway,0.0697674418604651,1.41304347826087,-2.92981375881338,0.00169582607363838,3,BAX;TP53;BCL2
Amyotrophic lateral sclerosis,Oocyte meiosis,0.111111111111111,1.36,,,5,PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC
Amyotrophic lateral sclerosis,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.119047619047619,1.34042553191489,-4.46112873748591,4.07645462274826e-06,5,PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC
Amyotrophic lateral sclerosis,Ribosome,0,2.46938775510204,4.58241927028684,0.999997701864132,0,""
Amyotrophic lateral sclerosis,Shigellosis,0.229166666666667,1.01694915254237,,,11,BAX;PFN1;TP53;ACTB;GABARAPL2;GABARAPL1;GABARAP;TRAF2;ACTG1;BCL2;VDAC1
Amyotrophic lateral sclerosis,Small cell lung cancer,0.125,1.31111111111111,-15.3206469257085,2.78303758933786e-53,5,BAX;TP53;TRAF2;BCL2;CASP3
Amyotrophic lateral sclerosis,Tuberculosis,0.19047619047619,1.16,-8.95668589502961,1.67291557519597e-19,8,BAX;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;BCL2;CASP3
Amyotrophic lateral sclerosis,Ubiquitin mediated proteolysis,0,Inf,,,0,""
Cellular senescence,Chronic myeloid leukemia,0.260869565217391,0.827586206896552,-19.6770749109498,1.69506388231919e-86,6,TP53;RB1;CCND1;AKT1;PIK3R1;MAPK1
Cellular senescence,Colorectal cancer,0.185185185185185,0.9375,-4.93869892484979,3.93227629393076e-07,5,TP53;CCND1;AKT1;PIK3R1;MAPK1
Cellular senescence,Glioma,0.318181818181818,0.586206896551724,-2.59645138230159,0.00470961173222848,7,TP53;RB1;CALML6;CCND1;AKT1;PIK3R1;MAPK1
Cellular senescence,Glucagon signaling pathway,0.307692307692308,0.818181818181818,,,8,CALML6;AKT1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC
Cellular senescence,Hepatitis B,0.233333333333333,0.810810810810811,,,7,TP53;RB1;AKT1;PIK3R1;CDK2;VDAC3;MAPK1
Cellular senescence,Human cytomegalovirus infection,0.464285714285714,0.439024390243902,-5.90614466680648,1.75103235482765e-09,13,TP53;RB1;CALML6;CCND1;AKT1;PIK3R1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Human immunodeficiency virus 1 infection,0.294117647058824,0.795454545454545,-5.82340419382144,2.88304374063117e-09,10,CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Kaposi sarcoma-associated herpesvirus infection,0.448275862068966,0.476190476190476,,,13,TP53;RB1;CALML6;CCND1;AKT1;PIK3R1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Lipid and atherosclerosis,0.34375,0.604651162790698,-7.60999784509414,1.37050246344435e-14,11,TP53;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Neurotrophin signaling pathway,0.178571428571429,0.787878787878788,-24.1725762605624,2.16169794700612e-129,5,TP53;CALML6;AKT1;PIK3R1;MAPK1
